日期,计划名称,展现,点击,消费,点击率（%）,平均点击价格
2020/08/01,test,437,0,0.00,0.00%,0
2020/08/02,test,3569,11,100.66,0.31%,9.13
2020/08/03,test,5669,9,84.62,0.16%,9.41
2020/08/04,test,5184,4,32.46,0.08%,8.12
2020/08/05,test,5057,9,83.62,0.18%,9.30
2020/08/06,test,5801,5,45.73,0.09%,9.15
2020/08/07,test,6164,6,41.33,0.10%,6.89
2020/08/08,test,6449,3,15.93,0.05%,5.31
2020/08/09,test,6385,7,23.06,0.11%,3.30
2020/08/10,test,3595,3,16.30,0.08%,5.66
